user_id,movie_id,rating
29,260778,4
77,27686,3
98,286565,2
83,364,1
7,86829,3
70,76706,4
15,861,3
78,334531,4
67,11258,5
48,172391,4
85,98557,5
21,22,4
37,340611,5
64,45767,4
86,38007,3
50,9806,4
86,44754,3
14,9981,5
11,243938,4
98,159037,3
89,11956,2
57,10592,4
43,1649,1
48,2370,1
5,208869,3
4,8054,5
40,180296,3
76,72766,2
28,15092,5
16,41733,5
2,2110,2
4,431,3
18,319910,2
6,241554,3
15,12096,5
51,46146,3
70,18713,3
2,331592,1
55,588,2
23,4107,4
49,13495,5
86,176074,4
68,137347,3
61,15059,4
17,13260,3
26,2119,5
14,157354,3
73,25379,3
91,8193,3
34,11072,5
67,9490,4
13,1698,1
60,9678,2
62,14557,3
18,104896,1
74,6795,3
16,68812,3
62,19848,1
46,11411,1
32,10783,2
99,227719,2
96,14112,4
46,1913,3
67,2493,1
93,44754,5
94,2100,5
50,12153,2
2,713,2
26,15556,2
51,12779,1
92,191714,3
66,66125,3
9,9104,2
5,9360,2
14,9276,2
90,16538,2
90,25208,2
10,10191,5
9,153518,5
31,14557,4
48,20296,5
86,9625,2
23,62215,5
3,286565,2
99,4995,2
4,398,5
82,14359,2
98,837,2
4,331493,5
55,2652,3
16,8202,5
48,11056,2
5,256924,5
1,277519,3
52,10987,5
97,12192,5
5,816,2
88,55180,1
25,9290,1
49,125537,2
87,10758,5
52,294550,3
81,365052,1
18,378237,1
31,242,3
78,191229,4
5,2024,3
60,1734,1
92,251471,5
36,20526,4
44,2114,5
51,2268,3
75,19898,1
65,344466,1
88,11199,3
70,2370,2
91,9678,4
94,27759,4
11,462,5
9,13335,5
50,38167,4
55,1365,5
74,9656,1
25,11371,5
27,16888,5
31,10196,2
27,1123,3
15,607,5
64,278,2
73,15670,5
37,433715,3
93,80468,1
13,602,2
79,43931,1
41,17187,5
98,1051,2
71,20065,1
97,22798,5
38,14114,5
78,9778,3
34,38365,1
65,62215,2
40,17795,3
57,79694,2
44,119283,1
15,10481,3
28,1690,4
37,45226,2
72,37842,3
42,18,3
86,120,4
61,82687,5
67,1255,3
91,11863,1
68,587,5
63,2575,3
71,1979,1
76,25975,3
24,16155,3
82,33644,3
34,127493,4
16,9408,2
75,50035,4
16,13072,4
79,1813,2
50,2026,1
86,76493,1
92,540,5
33,117,3
72,8780,5
84,228066,3
13,10147,2
34,127493,1
14,18360,3
86,10034,5
21,1255,5
98,11817,2
24,67911,1
82,10362,4
79,47692,3
40,49520,1
20,26390,3
86,77156,4
6,862,3
55,82650,5
22,9099,5
31,109729,5
12,57212,1
14,9451,5
50,375290,1
20,15239,3
19,15639,1
2,9902,4
38,293644,3
48,24100,5
96,58595,5
84,101267,3
26,227,5
80,5,1
61,11826,4
54,81188,5
65,11190,2
66,11240,3
3,191229,1
73,11858,2
38,96721,2
22,254470,3
86,10710,1
3,28053,5
60,25520,5
84,47546,3
11,183894,2
84,17710,4
79,1770,4
11,39780,5
34,46829,2
69,13523,2
63,5769,3
9,302,5
42,1597,3
61,13260,1
37,239573,2
43,29463,5
79,588,3
52,1408,4
36,128,5
67,8942,3
22,194588,3
88,9361,5
75,18885,3
78,11535,5
82,44564,1
6,1771,2
91,29122,1
14,10994,1
72,254470,1
45,20322,1
16,11253,1
50,31909,1
80,62255,5
47,72331,4
89,45138,3
79,132232,3
83,34549,4
35,11199,5
83,10676,3
37,47088,5
86,191714,1
34,19316,2
74,41733,5
46,2755,1
6,78149,5
7,13516,5
3,7485,1
66,9488,1
58,78394,2
95,25793,3
54,1439,2
73,1547,3
27,300706,4
35,18734,2
46,11023,1
40,1887,4
62,5854,4
39,209263,2
38,17994,5
12,30979,2
80,6977,2
18,550,1
28,150689,5
14,68735,2
52,29015,1
63,21801,1
83,311,1
8,24100,1
93,2084,3
14,165864,1
27,302,1
2,926,2
28,11658,4
27,2013,1
62,11973,4
25,68734,3
29,1588,1
22,27586,5
47,540,3
89,42188,4
15,286565,1
82,2162,5
51,9422,2
2,9451,1
4,202575,2
56,42618,3
60,20616,2
51,11027,3
35,1591,3
46,9957,3
1,641,3
61,76489,5
29,2069,3
23,863,1
99,42889,2
38,306,1
3,73191,5
34,10003,4
24,283445,5
67,13805,1
35,72710,1
18,77866,2
42,307081,1
21,170,5
11,11446,1
71,35944,5
58,11891,5
24,2043,4
86,46332,1
52,9273,1
6,49953,1
49,80274,4
11,14662,5
79,386826,5
78,14358,3
9,112456,1
59,33155,3
98,14438,1
21,1690,1
16,9821,2
4,57431,2
95,924,1
56,9833,2
35,87093,2
8,26791,1
59,325123,5
61,641,3
94,948,3
51,771,3
73,33157,2
61,301325,3
98,9448,3
10,808,3
35,8247,5
4,10212,2
9,50538,3
35,161795,5
14,42586,3
56,16769,1
33,7516,5
70,20055,1
2,9476,2
5,44718,1
5,9286,2
8,1999,1
99,266102,1
26,5966,4
71,254024,5
71,64686,4
76,41436,4
54,299145,5
78,201,4
26,15487,4
90,35073,2
29,146227,1
74,132232,3
14,295964,4
77,85,5
48,544,3
96,20406,4
85,16653,5
91,16232,1
76,9619,2
23,691,5
16,15648,1
39,12770,3
75,35019,3
52,327833,1
93,272693,3
75,2655,5
69,10534,3
81,69668,5
25,11918,3
15,40920,5
50,13551,1
66,10774,2
82,8413,1
98,84659,1
97,354624,4
46,496,5
1,210577,4
61,13807,1
26,58595,2
48,101267,3
74,95,5
50,270303,1
3,6877,5
41,157847,2
3,28,4
90,11287,3
93,1369,5
71,38541,3
70,153397,5
22,157,2
98,13066,5
74,16858,5
24,8675,2
69,230266,5
46,23655,2
98,11354,2
69,51540,3
32,43933,2
97,16996,5
21,9879,4
15,10208,4
37,524,4
45,290370,2
57,16558,4
60,15013,5
24,155,2
9,9809,1
17,71,2
65,43347,3
21,801,1
70,38543,3
12,57158,1
1,25793,5
72,50875,4
63,24985,2
66,380097,2
28,14574,2
71,13193,3
44,37931,4
24,10760,3
59,28932,5
1,127867,3
4,2069,3
75,11351,5
22,375290,4
95,43931,5
56,17917,5
66,54702,1
48,12412,5
66,13682,3
99,2280,3
97,16028,3
45,41630,5
29,49519,2
96,126319,5
53,312791,4
46,110402,1
19,25208,2
6,28029,1
59,14585,1
39,37206,3
37,12454,4
26,38448,1
68,9544,5
52,429,1
2,10217,1
75,711,2
50,11132,5
100,224569,5
79,10956,5
15,9344,4
56,4464,4
58,1788,4
32,50620,5
52,144336,2
45,13778,5
13,35056,2
19,109417,5
21,17187,5
91,273481,4
66,3902,2
99,16290,1
49,9919,3
100,11588,4
3,10970,2
29,245846,3
30,11888,2
79,227,1
53,146216,2
5,25208,3
77,230266,4
47,157,2
8,14844,4
24,39141,1
66,18045,5
15,693,4
40,44092,1
4,9955,3
50,9552,3
53,2779,5
13,80035,4
52,12144,4
53,8916,4
25,577,3
33,20520,4
96,10545,2
98,82684,2
18,30309,2
42,11091,5
1,360188,3
48,49521,1
92,1779,2
55,376010,5
96,29406,1
66,37842,5
10,1921,4
65,34086,1
20,550,3
100,77016,1
96,7278,2
49,72197,1
68,12150,4
91,853,4
49,325789,2
57,250124,5
84,110683,4
